,character,role,movie,line,line_sw,line_sw_stem
11073,peter parker,hero,spider-man: homecoming,come on man please stupid interrogation mode karen don't ever do that again,come man please stupid interrogation mode karen ever,come man pleas stupid interrog mode karen ever
11075,peter parker,hero,spider-man: homecoming,who are these guys what can you tell me about the guy with the wings,guys tell guy wings,guy tell guy wing
11077,peter parker,hero,spider-man: homecoming,really,really,realli
11079,peter parker,hero,spider-man: homecoming,yes yes thank,yes yes thank,ye ye thank
11081,peter parker,hero,spider-man: homecoming,right of course yeah my bad silly just yeah where is it,right course yeah bad silly yeah,right cours yeah bad silli yeah
11083,peter parker,hero,spider-man: homecoming,hmm,hmm,hmm
11085,peter parker,hero,spider-man: homecoming,i don't understand i'm intimidating,understand i'm intimidating,understand i'm intimid
11087,peter parker,hero,spider-man: homecoming,oh that's soon hey that's gonna dissolve in two hours,oh that's soon hey that's gonna dissolve two hours,oh that' soon hey that' gonna dissolv two hour
11089,peter parker,hero,spider-man: homecoming,two hours you deserve that,two hours deserve,two hour deserv
11091,peter parker,hero,spider-man: homecoming,you deserve that you're a criminal bye mr criminal nice okay karen activate enhanced reconnaissance mode,deserve criminal bye mr criminal nice okay karen activate enhanced reconnaissance mode,deserv crimin bye mr crimin nice okay karen activ enhanc reconnaiss mode
11095,peter parker,hero,spider-man: homecoming,it’s the guy from the bridge right who’s that other guy,it’s guy bridge right who’s guy,it’ guy bridg right who’ guy
11098,peter parker,hero,spider-man: homecoming,i can’t talk right now i’ll call her back hey dronie keep an eye on that guy we can’t let anybody get away this time who’s the guy on the left,can’t talk right i’ll call back hey dronie keep eye guy can’t let anybody get away time who’s guy left,can’t talk right i’ll call back hey droni keep eye guy can’t let anybodi get away time who’ guy left
11100,peter parker,hero,spider-man: homecoming,no karen stop it with the instant kill already,karen stop instant kill already,karen stop instant kill alreadi
11102,peter parker,hero,spider-man: homecoming,dronie scan the ship for a white pickup truck oh this is too perfect i got the weapons buyers and sellers all in one place,dronie scan ship white pickup truck oh perfect got weapons buyers sellers one place,droni scan ship white pickup truck oh perfect got weapon buyer seller one place
11104,peter parker,hero,spider-man: homecoming,no no no no no don’t answer,don’t answer,don’t answer
11105,tony stark,hero,spider-man: homecoming,mr parker got a sec,mr parker got sec,mr parker got sec
11106,peter parker,hero,spider-man: homecoming,uh i’m actually at school,uh i’m actually school,uh i’m actual school
11108,tony stark,hero,spider-man: homecoming,nice work in d c,nice work c,nice work c
11109,peter parker,hero,spider-man: homecoming,okay,okay,okay
11110,tony stark,hero,spider-man: homecoming,my dad never really gave me a lot of support and i’m just trying to break the cycle of shame,dad never really gave lot support i’m trying break cycle shame,dad never realli gave lot support i’m tri break cycl shame
11111,peter parker,hero,spider-man: homecoming,uh i’m kind of in the middle of something right now,uh i’m kind middle something right,uh i’m kind middl someth right
11112,tony stark,hero,spider-man: homecoming,don’t cut me off when i’m complimenting you anyway great things are about to what is that,don’t cut i’m complimenting anyway great things,don’t cut i’m compliment anyway great thing
11113,peter parker,hero,spider-man: homecoming,uh i’m at band practice,uh i’m band practice,uh i’m band practic
11114,tony stark,hero,spider-man: homecoming,that’s odd happy told me you quit band six weeks ago what’s up,that’s odd happy told quit band six weeks ago what’s,that’ odd happi told quit band six week ago what’
11115,peter parker,hero,spider-man: homecoming,i gotta go uh end call,gotta go uh end call,gotta go uh end call
11116,tony stark,hero,spider-man: homecoming,hey,hey,hey
11117,peter parker,hero,spider-man: homecoming,i’ll take those yoink hey guys the illegal weapons deal ferry was at you missed it,i’ll take yoink hey guys illegal weapons deal ferry missed,i’ll take yoink hey guy illeg weapon deal ferri miss
11119,peter parker,hero,spider-man: homecoming,whoa whoa whoa not so fast are you guys okay my bad that was a little hard i gotta say the other guy was way better with that thing i’m honestly i’m i’m shocked,whoa whoa whoa fast guys okay bad little hard gotta say guy way better thing i’m honestly i’m i’m shocked,whoa whoa whoa fast guy okay bad littl hard gotta say guy way better thing i’m honestli i’m i’m shock
11123,peter parker,hero,spider-man: homecoming,wait what do you mean fbi,wait mean fbi,wait mean fbi
11125,peter parker,hero,spider-man: homecoming,i know what the fbi means but what are they doing here get out of the way get out of the way look out look out look out move move move,know fbi means get way get way look look look move move move,know fbi mean get way get way look look look move move move
11127,peter parker,hero,spider-man: homecoming,activate taser web,activate taser web,activ taser web
11129,peter parker,hero,spider-man: homecoming,oh my god what do i do karen uh give me an x ray of the boat and target all the strongest points web grenade web grenade splitter web go,oh god karen uh give x ray boat target strongest points web grenade web grenade splitter web go,oh god karen uh give x ray boat target strongest point web grenad web grenad splitter web go
11131,peter parker,hero,spider-man: homecoming,ninety eight,ninety eight,nineti eight
11133,peter parker,hero,spider-man: homecoming,no no no no no what the hell what the hell,hell hell,hell hell
11134,tony stark,hero,spider-man: homecoming,hi spider man band practice was it,hi spider man band practice,hi spider man band practic
11136,peter parker,hero,spider-man: homecoming,uh mr stark hey mr stark could i do anything what do you want me to do,uh mr stark hey mr stark could anything want,uh mr stark hey mr stark could anyth want
11137,tony stark,hero,spider-man: homecoming,i think you’ve done enough,think you’ve done enough,think you’v done enough
11145,tony stark,hero,spider-man: homecoming,previously on peter screws the pooch i tell you to stay away from this instead you hacked a multimillion dollar suit so you could sneak around behind my back doing the one thing i told you not to do,previously peter screws pooch tell stay away instead hacked multimillion dollar suit could sneak around behind back one thing told,previous peter screw pooch tell stay away instead hack multimillion dollar suit could sneak around behind back one thing told
11146,peter parker,hero,spider-man: homecoming,is everyone okay,everyone okay,everyon okay
11147,tony stark,hero,spider-man: homecoming,no thanks to you,thanks,thank
11148,peter parker,hero,spider-man: homecoming,no thanks to me those weapons were out there and i tried to tell you about it but you didn’t listen none of this would’ve happened if you had just listened to me if you even cared you’d actually be here,thanks weapons tried tell didn’t listen none would’ve happened listened even cared you’d actually,thank weapon tri tell didn’t listen none would’v happen listen even care you’d actual
11149,tony stark,hero,spider-man: homecoming,i did listen kid who do you think called the fbi huh do you know that i was the only one who believed in you everyone else said i was crazy to recruit a year old kid,listen kid think called fbi huh know one believed everyone else said crazy recruit year old kid,listen kid think call fbi huh know one believ everyon els said crazi recruit year old kid
11150,peter parker,hero,spider-man: homecoming,i’m fifteen,i’m fifteen,i’m fifteen
11151,tony stark,hero,spider-man: homecoming,no this is where you zip it all right the adult is talking what if somebody had died tonight different story right cause that’s on you and if you died i feel like that’s on me i don’t need that on my conscience,zip right adult talking somebody died tonight different story right cause that’s died feel like that’s don’t need conscience,zip right adult talk somebodi die tonight differ stori right caus that’ die feel like that’ don’t need conscienc
11152,peter parker,hero,spider-man: homecoming,yes sir,yes sir,ye sir
11153,tony stark,hero,spider-man: homecoming,yes,yes,ye
11154,peter parker,hero,spider-man: homecoming,i i’m sorry,i’m sorry,i’m sorri
11155,tony stark,hero,spider-man: homecoming,sorry doesn’t cut it,sorry doesn’t cut,sorri doesn’t cut
11156,peter parker,hero,spider-man: homecoming,i understand i just wanted to be like you,understand wanted like,understand want like
